generated_at,regime,regime_label,regime_confidence,window_days,events_scanned,growth_score,infl_score,capital_layer,is_real_money,boundary,as_of,source,cpi_month,cpi_yoy,cpi_mom,pmi_month,pmi_manufacturing,pmi_delta,shibor_date,shibor_1w,shibor_1w_delta,shibor_3m,lpr_date,lpr_1y,lpr_5y,fx_date,usdcnh,usdcnh_delta,signal_notes,data_quality
2026-05-31T23:59:00,growth_up_infl_up,增长上行+通胀上行,0.375,30,4,1,2,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-05-31,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202604,1.2,0.3,202604,50.3,-0.1,20260529,1.387,0.025,1.4075,20260320,3.0,3.5,,,,CPI上行/高位;PMI扩张;SHIBOR上行,missing_fx
2026-06-01T23:59:00,growth_down_infl_up,滞胀（增长下行+通胀上行）,0.25,30,4,-1,1,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-01,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202604,1.2,0.3,202605,50.0,-0.3,20260601,1.376,-0.011,1.4065,20260320,3.0,3.5,,,,CPI上行/高位;PMI临界;PMI环比回落,missing_fx
2026-06-02T23:59:00,growth_up_infl_down,增长上行+通胀下行（金发女孩）,0.0,30,4,0,0,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-02,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202604,1.2,0.3,202605,50.0,-0.3,20260602,1.353,-0.023,1.4035,20260320,3.0,3.5,,,,CPI上行/高位;PMI临界;PMI环比回落;SHIBOR回落,missing_fx
2026-06-03T23:59:00,growth_down_infl_up,滞胀（增长下行+通胀上行）,0.25,30,4,-1,1,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-03,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202604,1.2,0.3,202605,50.0,-0.3,20260603,1.347,-0.006,1.4035,20260320,3.0,3.5,,,,CPI上行/高位;PMI临界;PMI环比回落,missing_fx
2026-06-04T23:59:00,growth_down_infl_up,滞胀（增长下行+通胀上行）,0.25,30,4,-1,1,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-04,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202604,1.2,0.3,202605,50.0,-0.3,20260604,1.348,0.001,1.4015,20260320,3.0,3.5,,,,CPI上行/高位;PMI临界;PMI环比回落,missing_fx
2026-06-05T23:59:00,growth_down_infl_up,滞胀（增长下行+通胀上行）,0.5,30,4,-2,2,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-05,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202604,1.2,0.3,202605,50.0,-0.3,20260605,1.382,0.034,1.402,20260320,3.0,3.5,,,,CPI上行/高位;PMI临界;PMI环比回落;SHIBOR上行,missing_fx
2026-06-06T23:59:00,growth_down_infl_up,滞胀（增长下行+通胀上行）,0.5,30,4,-2,2,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-06,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202604,1.2,0.3,202605,50.0,-0.3,20260605,1.382,0.034,1.402,20260320,3.0,3.5,,,,CPI上行/高位;PMI临界;PMI环比回落;SHIBOR上行,missing_fx
2026-06-07T23:59:00,growth_down_infl_up,滞胀（增长下行+通胀上行）,0.5,30,4,-2,2,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-07,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202604,1.2,0.3,202605,50.0,-0.3,20260605,1.382,0.034,1.402,20260320,3.0,3.5,,,,CPI上行/高位;PMI临界;PMI环比回落;SHIBOR上行,missing_fx
2026-06-08T23:59:00,growth_down_infl_up,滞胀（增长下行+通胀上行）,0.25,30,4,-1,1,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-08,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202604,1.2,0.3,202605,50.0,-0.3,20260608,1.401,0.019,1.402,20260320,3.0,3.5,,,,CPI上行/高位;PMI临界;PMI环比回落,missing_fx
2026-06-09T23:59:00,growth_down_infl_down,增长下行+通胀下行,0.25,30,4,-1,-1,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-09,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202605,1.2,-0.1,202605,50.0,-0.3,20260609,1.42,0.019,1.402,20260320,3.0,3.5,,,,CPI回落/低位;PMI临界;PMI环比回落,missing_fx
2026-06-10T23:59:00,growth_down_infl_down,增长下行+通胀下行,0.25,30,4,-1,-1,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-10,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202605,1.2,-0.1,202605,50.0,-0.3,20260610,1.413,-0.007,1.402,20260320,3.0,3.5,,,,CPI回落/低位;PMI临界;PMI环比回落,missing_fx
