event_id,event_date,event_type,title,source,source_url,summary,status,confidence,note
evt_20260612_resource_strength,20260612,fund_flow,有色资源方向成为当日强主线,market_review,,铜、铅锌、黄金等行业强于市场,active,0.7,示例事件
evt_20260612_market_regime,20260612,market_regime,A股行情类型：趋势上涨,strategy_router,,指数均值 0.88%；上涨占比 71.2%；全市场中位涨跌 1.29%；跌超5%占比 3.8%；最强行业 铜 中位涨幅 5.98%,active,0.85,自动生成：行情路由
evt_20260612_industry_e745419e,20260612,fund_flow,铜 行业强势,strategy_router,,行业中位涨幅 5.98%，上涨占比 88.9%,active,0.75,自动生成：行业强弱
evt_20260612_industry_3a95775e,20260612,fund_flow,铅锌 行业强势,strategy_router,,行业中位涨幅 5.97%，上涨占比 100.0%,active,0.75,自动生成：行业强弱
evt_20260612_industry_b69a59d5,20260612,fund_flow,空运 行业强势,strategy_router,,行业中位涨幅 5.3%，上涨占比 100.0%,active,0.75,自动生成：行业强弱
evt_20260612_industry_f8491aa9,20260612,fund_flow,黄金 行业强势,strategy_router,,行业中位涨幅 4.45%，上涨占比 100.0%,active,0.75,自动生成：行业强弱
evt_20260612_industry_d0f0a8d4,20260612,fund_flow,航空 行业强势,strategy_router,,行业中位涨幅 4.23%，上涨占比 90.6%,active,0.75,自动生成：行业强弱
evt_20260616_market_regime,20260616,market_regime,A股行情类型：弱市退潮,strategy_router,,指数均值 3.27%；上涨占比 0.0%；全市场中位涨跌 0.00%；跌超5%占比 0.0%,active,0.85,自动生成：行情路由
evt_20260615_market_regime,20260615,market_regime,A股行情类型：趋势上涨,strategy_router,,指数均值 3.27%；上涨占比 70.9%；全市场中位涨跌 1.25%；跌超5%占比 1.1%；最强行业 铜 中位涨幅 6.20%,active,0.85,自动生成：行情路由
evt_20260615_industry_e745419e,20260615,fund_flow,铜 行业强势,strategy_router,,行业中位涨幅 6.2%，上涨占比 94.4%,active,0.75,自动生成：行业强弱
evt_20260615_industry_f6567ae8,20260615,fund_flow,玻璃 行业强势,strategy_router,,行业中位涨幅 5.88%，上涨占比 94.7%,active,0.75,自动生成：行业强弱
evt_20260615_industry_e32384b4,20260615,fund_flow,元器件 行业强势,strategy_router,,行业中位涨幅 5.5%，上涨占比 97.4%,active,0.75,自动生成：行业强弱
evt_20260615_industry_09594d2e,20260615,fund_flow,半导体 行业强势,strategy_router,,行业中位涨幅 5.4%，上涨占比 95.3%,active,0.75,自动生成：行业强弱
evt_20260615_industry_f8491aa9,20260615,fund_flow,黄金 行业强势,strategy_router,,行业中位涨幅 4.95%，上涨占比 100.0%,active,0.75,自动生成：行业强弱
evt_20260616_industry_80c07ba2,20260616,fund_flow,矿物制品 行业强势,strategy_router,,行业中位涨幅 3.33%，上涨占比 83.3%,active,0.75,自动生成：行业强弱
evt_20260616_industry_f6567ae8,20260616,fund_flow,玻璃 行业强势,strategy_router,,行业中位涨幅 2.95%，上涨占比 100.0%,active,0.75,自动生成：行业强弱
evt_20260616_industry_e32384b4,20260616,fund_flow,元器件 行业强势,strategy_router,,行业中位涨幅 2.46%，上涨占比 79.8%,active,0.75,自动生成：行业强弱
evt_20260616_industry_2b396e2a,20260616,fund_flow,机床制造 行业强势,strategy_router,,行业中位涨幅 2.18%，上涨占比 75.0%,active,0.75,自动生成：行业强弱
evt_20260616_industry_9d84935c,20260616,fund_flow,电气设备 行业强势,strategy_router,,行业中位涨幅 1.79%，上涨占比 80.7%,active,0.75,自动生成：行业强弱
