ts_code,symbol,name,area,industry,market,list_date
00700.HK,00700,腾讯控股,香港,互联网,主板,20040616
09988.HK,09988,阿里巴巴-SW,香港,互联网,主板,20191126
03690.HK,03690,美团-W,香港,互联网,主板,20180920
09618.HK,09618,京东集团-SW,香港,互联网,主板,20200618
09888.HK,09888,百度集团-SW,香港,互联网,主板,20210323
09999.HK,09999,网易-S,香港,互联网,主板,20200611
01024.HK,01024,快手-W,香港,互联网,主板,20210205
02015.HK,02015,理想汽车-W,香港,汽车,主板,20210812
09866.HK,09866,蔚来-SW,香港,汽车,主板,20220310
09868.HK,09868,小鹏汽车-W,香港,汽车,主板,20210707
01211.HK,01211,比亚迪股份,深圳,汽车,主板,20020731
00005.HK,00005,汇丰控股,香港,银行,主板,19200101
00011.HK,00011,恒生银行,香港,银行,主板,19720420
01299.HK,01299,友邦保险,香港,保险,主板,20101029
00388.HK,00388,香港交易所,香港,金融,主板,20000627
00941.HK,00941,中国移动,香港,电信,主板,19971023
00728.HK,00728,中国电信,北京,电信,主板,20021115
00762.HK,00762,中国联通,北京,电信,主板,20000622
00883.HK,00883,中国海洋石油,北京,能源,主板,20010228
00857.HK,00857,中国石油股份,北京,能源,主板,20000407
00386.HK,00386,中国石油化工股份,北京,能源,主板,20001019
01088.HK,01088,中国神华,北京,能源,主板,20050615
03988.HK,03988,中国银行,北京,银行,主板,20060601
01398.HK,01398,工商银行,北京,银行,主板,20061027
00939.HK,00939,建设银行,北京,银行,主板,20051027
01288.HK,01288,农业银行,北京,银行,主板,20100716
03968.HK,03968,招商银行,深圳,银行,主板,20060922
02628.HK,02628,中国人寿,北京,保险,主板,20031218
02318.HK,02318,中国平安,深圳,保险,主板,20040624
02601.HK,02601,中国太保,上海,保险,主板,20071225
01339.HK,01339,中国人民保险集团,北京,保险,主板,20121207
02313.HK,02313,申洲国际,宁波,纺织,主板,20051124
02020.HK,02020,安踏体育,福建,体育用品,主板,20070710
02331.HK,02331,李宁,北京,体育用品,主板,20040628
01810.HK,01810,小米集团-W,北京,消费电子,主板,20180709
02382.HK,02382,舜宇光学科技,浙江,光学,主板,20070615
02018.HK,02018,瑞声科技,深圳,声学,主板,20050809
00669.HK,00669,创科实业,香港,工具,主板,19901217
01928.HK,01928,金沙中国有限公司,澳门,博彩,主板,20091130
00027.HK,00027,银河娱乐,澳门,博彩,主板,19910705
01109.HK,01109,华润置地,北京,房地产,主板,20051121
00960.HK,00960,龙湖集团,重庆,房地产,主板,20091119
02007.HK,02007,碧桂园服务,广东,物业,主板,20180619
06098.HK,06098,碧桂园服务,广东,物业,主板,20180619
09633.HK,09633,农夫山泉,浙江,饮料,主板,20200908
09626.HK,09626,哔哩哔哩-W,上海,互联网,主板,20210329
09961.HK,09961,携程集团-S,上海,在线旅游,主板,20210419
09901.HK,09901,新东方在线,北京,教育,主板,20190328
01797.HK,01797,东方甄选,北京,电商,主板,20190328
01833.HK,01833,平安好医生,上海,互联网医疗,主板,20180504
06618.HK,06618,京东健康,北京,互联网医疗,主板,20201208
02269.HK,02269,药明生物,江苏,生物制药,主板,20170613
02359.HK,02359,药明康德,江苏,生物制药,主板,20181213
06160.HK,06160,百济神州,北京,生物制药,主板,20180808
01801.HK,01801,信达生物,江苏,生物制药,主板,20181031
01093.HK,01093,石药集团,河北,医药,主板,19970508
01177.HK,01177,中国生物制药,北京,医药,主板,20000925
06862.HK,06862,海底捞,北京,餐饮,主板,20180926
09922.HK,09922,九毛九,广州,餐饮,主板,20200115
02057.HK,02057,中通快递-SW,上海,物流,主板,20200929
02618.HK,02618,京东物流,北京,物流,主板,20210528
00066.HK,00066,港铁公司,香港,交通,主板,20001005
00002.HK,00002,中电控股,香港,公用事业,主板,19010101
00003.HK,00003,香港中华煤气,香港,公用事业,主板,19010101
00006.HK,00006,电能实业,香港,公用事业,主板,19760101
00001.HK,00001,长和,香港,综合,主板,19720101
00012.HK,00012,恒基地产,香港,房地产,主板,19810723
00016.HK,00016,新鸿基地产,香港,房地产,主板,19720101
00017.HK,00017,新世界发展,香港,房地产,主板,19720101
00019.HK,00019,太古股份公司A,香港,综合,主板,19720101
00083.HK,00083,信和置业,香港,房地产,主板,19810408
00101.HK,00101,恒隆地产,香港,房地产,主板,19880401
02688.HK,02688,新奥能源,河北,能源,主板,20020524
02319.HK,02319,蒙牛乳业,内蒙古,乳制品,主板,20040610
00291.HK,00291,华润啤酒,北京,啤酒,主板,20030818
00168.HK,00168,青岛啤酒股份,山东,啤酒,主板,19930715
01044.HK,01044,恒安国际,福建,卫生用品,主板,19981208
00288.HK,00288,万洲国际,河南,食品,主板,20140805
