ts_code,symbol,name,area,industry,market,list_date
600519.SH,600519,贵州茅台,贵州,白酒,主板,20010827
000001.SZ,000001,平安银行,深圳,银行,主板,19910403
000858.SZ,000858,五粮液,四川,白酒,主板,19980427
600036.SH,600036,招商银行,深圳,银行,主板,20020409
000333.SZ,000333,美的集团,广东,家电,主板,20130918
600276.SH,600276,恒瑞医药,江苏,医药,主板,20001107
002415.SZ,002415,海康威视,浙江,信息技术,主板,20100528
600900.SH,600900,长江电力,北京,电力,主板,20031118
000651.SZ,000651,格力电器,广东,家电,主板,19961118
601318.SH,601318,中国平安,深圳,保险,主板,20070301
600809.SH,600809,山西汾酒,山西,白酒,主板,19940106
000568.SZ,000568,泸州老窖,四川,白酒,主板,19940509
